"K","logLik","AIC","BIC"
1,-16944.032,33892.065,33906.147
2,-16926.95,33859.899,33881.023
3,-16692.6,33393.201,33421.366
4,-16359.043,32728.085,32763.292
5,-16230.998,32473.996,32516.244
6,-16216.149,32446.299,32495.588
7,-16130.729,32277.459,32333.789
8,-16037.143,32092.286,32155.658
9,-16025.933,32071.865,32142.278
10,-16006.392,32034.784,32112.238
11,-15973.375,31970.75,32055.246
12,-15952.121,31930.242,32021.78
13,-15949.623,31927.246,32025.825
14,-15939.951,31909.902,32015.522
15,-15929.009,31890.018,32002.68
16,-15927.191,31888.382,32008.085
17,-15925.016,31886.033,32012.777
18,-15921.231,31880.462,32014.248
19,-15918.849,31877.697,32018.524
20,-15918.251,31878.503,32026.371
21,-15917.376,31878.753,32033.662
22,-15916.405,31878.81,32040.761
23,-15915.669,31879.339,32048.331
24,-15915.046,31880.092,32056.125
25,-15914.49,31880.979,32064.054
26,-15914.013,31882.027,32072.143
27,-15913.6,31883.201,32080.358
28,-15913.234,31884.468,32088.667
29,-15912.905,31885.811,32097.051
30,-15912.607,31887.214,32105.496
