"K","BIC_train","CV_mean_ll","CV_mean_mse"
1,23753.8978,-2373.6528,0.0038
2,23741.9173,-2371.7596,0.004
3,23409.2859,-2337.8802,0.0025
4,22945.3753,-2290.5677,0.0014
5,22788.9481,-2273.8762,0.0014
6,22772.9956,-2271.7154,0.0012
7,22658.704,-2259.4381,9e-04
8,22536.998,-2246.1367,6e-04
9,22533.6802,-2245.2748,6e-04
10,22513.2972,-2242.1556,5e-04
11,22474.7175,-2237.7103,4e-04
12,22456.5542,-2234.8435,4e-04
13,22460.951,-2234.6628,4e-04
14,22455.6389,-2232.8707,3e-04
15,22448.6489,-2231.4373,3e-04
16,22455.5731,-2231.4519,3e-04
17,22460.7897,-2231.2792,3e-04
18,22463.7452,-2230.674,3e-04
19,22468.993,-2230.233,2e-04
20,22476.8088,-2230.0446,2e-04
21,22484.1427,-2229.8427,2e-04
22,22491.8986,-2229.9786,2e-04
23,22500.1322,-2229.9325,2e-04
24,22508.5446,-2230.0793,2e-04
25,22517.064,-2229.8199,2e-04
26,22525.5287,-2230.2983,2e-04
27,22533.7896,-2229.9992,2e-04
28,22542.2155,-2230.1312,2e-04
29,22550.6845,-2229.9527,2e-04
30,22559.1853,-2230.0067,2e-04
