"K","ll","AIC","BIC"
1,-34328.4642816802,68660.9285633604,68676.695235089
2,-33695.49377819,67396.98755638,67420.6375639729
3,-33528.2312801365,67064.462560273,67095.9959037303
4,-33467.9406953229,66945.8813906458,66985.2980699675
5,-33443.5473614966,66899.0947229932,66946.3947381791
6,-33401.7587110815,66817.5174221631,66872.7007732134
7,-33395.0467207555,66806.0934415111,66869.1601284257
8,-33377.4733178732,66772.9466357465,66843.8966585254
9,-33376.750509076,66773.501018152,66852.3343767952
10,-33367.9956242183,66757.9912484366,66844.7079429442
11,-33361.8645006893,66747.7290013787,66842.3290317506
12,-33358.2914997567,66742.5829995133,66845.0663657496
13,-33351.8481924849,66731.6963849698,66842.0630870703
14,-33350.2436422255,66730.487284451,66848.7373224159
15,-33346.8383878982,66725.6767757965,66851.8101496257
16,-33343.9673135994,66721.9346271987,66855.9513368923
17,-33341.952966504,66719.9059330079,66861.8059785658
18,-33339.2977053355,66716.5954106709,66866.3787920931
19,-33337.4201151606,66714.8402303212,66872.5069476077
20,-33335.6161707454,66713.2323414907,66878.7823946416
21,-33333.8893851465,66711.778770293,66885.2121593082
22,-33332.4637090426,66710.9274180851,66892.2441429646
23,-33331.0673343905,66710.1346687809,66899.3347295248
24,-33329.7959952886,66709.5919905772,66906.6753871853
25,-33328.6392098866,66709.2784197733,66914.2451522458
26,-33327.5473408141,66709.0946816282,66921.944749965
27,-33326.5449037346,66709.0898074691,66929.8232116702
28,-33325.6136308147,66709.2272616294,66937.8440016949
29,-33324.7435967385,66709.487193477,66945.9872694068
30,-33323.9342335095,66709.8684670191,66954.2518788132
