"K","ll","AIC","BIC"
1,-16944.0323683975,33892.064736795,33906.1473964535
2,-16926.9495259308,33859.8990518616,33881.0230413494
3,-16692.6004421986,33393.2008843971,33421.3662037141
4,-16359.0425634446,32728.0851268892,32763.2917760354
5,-16230.9980636698,32473.9961273396,32516.2441063151
6,-16216.1494299902,32446.2988599805,32495.5881687852
7,-16130.7292512901,32277.4585025801,32333.789141214
8,-16037.1431061562,32092.2862123124,32155.6581807755
9,-16025.9325521786,32071.8651043573,32142.2784026497
10,-16006.3918829231,32034.7837658461,32112.2383939678
11,-15973.374924351,31970.7498487019,32055.2458066528
12,-15952.1211696031,31930.2423392061,32021.7796269863
13,-15949.6230927647,31927.2461855294,32025.8248031388
14,-15939.9509003634,31909.9018007268,32015.5217481654
15,-15929.0091866087,31890.0183732174,32002.6796504853
16,-15927.19117193,31888.38234386,32008.0849509571
17,-15925.0163328947,31886.0326657895,32012.7766027158
18,-15921.2312434068,31880.4624868136,32014.2477535692
19,-15918.8485620219,31877.6971240438,32018.5237206286
20,-15918.2514705562,31878.5029411124,32026.3708675265
21,-15917.3763935548,31878.7527871097,32033.662043353
22,-15916.4051707666,31878.8103415331,32040.7609276057
23,-15915.6694557132,31879.3389114264,32048.3308273282
24,-15915.0460093474,31880.0920186948,32056.1252644258
25,-15914.4897336917,31880.9794673834,32064.0540429437
26,-15914.0133993461,31882.0267986922,32072.1427040817
27,-15913.6003870514,31883.2007741029,32080.3580093217
28,-15913.2342062748,31884.4684125497,32088.6669775977
29,-15912.9054878994,31885.8109757988,32097.050870676
30,-15912.6072066084,31887.2144132169,32105.4956379234
