"woman_id","score"
1,4
2,0
3,0
4,0
5,0
6,0
7,2
8,0
9,0
10,1
11,2
12,1
13,2
14,2
15,1
16,1
17,1
18,0
19,0
20,0
21,2
22,0
23,2
24,0
25,0
26,0
27,0
28,2
29,1
30,0
31,1
32,0
33,1
34,1
35,0
36,0
37,0
38,1
39,1
40,1
41,1
42,1
43,0
44,0
45,1
46,1
47,1
48,1
49,2
50,1
51,1
52,0
53,1
54,1
55,4
56,1
57,4
58,1
59,1
60,4
61,1
62,0
63,2
64,0
65,4
66,4
67,3
68,0
69,1
70,1
71,3
72,2
73,0
74,3
75,4
76,0
77,1
78,0
79,3
80,1
81,5
82,0
83,3
84,5
85,1
86,2
87,1
88,5
89,3
90,1
91,7
92,1
93,0
94,0
95,0
96,6
97,7
98,5
99,0
100,1
101,1
102,1
103,1
104,1
105,2
106,7
107,8
108,3
109,4
110,0
111,8
112,1
113,5
114,0
115,4
116,0
117,0
118,1
119,4
120,0
121,3
122,4
123,2
124,1
125,2
126,3
127,8
128,1
129,0
130,2
131,0
132,0
133,5
134,5
135,1
136,4
137,3
138,1
139,0
140,0
141,3
142,1
143,5
144,8
145,7
146,6
147,4
148,8
149,4
150,7
151,0
152,6
153,5
154,0
155,6
156,8
157,2
158,8
159,4
160,8
161,0
162,0
163,1
164,0
165,2
166,2
167,2
168,0
169,4
170,0
171,1
172,0
173,0
174,8
175,0
176,1
177,0
178,1
179,0
180,1
181,4
182,2
183,1
184,4
185,8
186,2
187,3
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,2
196,0
197,4
198,2
199,0
200,6
201,3
202,3
203,4
204,1
205,0
206,1
207,1
208,0
209,1
210,0
211,0
212,6
213,1
214,1
215,2
216,0
217,2
218,1
219,0
220,0
221,1
222,1
223,1
224,2
225,1
226,1
227,2
228,1
229,0
230,2
231,1
232,2
233,0
234,1
235,0
236,4
237,4
238,2
239,2
240,3
241,4
242,3
243,4
244,2
245,3
246,2
247,1
248,2
249,4
250,4
251,2
252,2
253,2
254,4
255,3
256,5
257,5
258,2
259,2
260,2
261,2
262,2
263,3
264,2
265,2
266,5
267,2
268,2
269,2
270,2
271,3
272,4
273,2
274,0
275,2
276,0
277,2
278,1
279,3
280,3
281,2
282,0
283,8
284,6
285,1
286,3
287,4
288,4
289,1
290,1
291,0
292,2
293,4
294,4
295,0
296,0
297,3
298,1
299,2
300,3
301,1
302,3
303,1
304,0
305,2
306,3
307,1
308,1
309,2
310,0
311,3
312,2
313,3
314,2
315,4
316,3
317,4
318,2
319,0
320,1
321,0
322,0
323,2
324,1
325,2
326,0
327,3
328,2
329,2
330,1
331,2
332,1
333,4
334,1
335,2
336,3
337,2
338,3
339,3
340,3
341,3
342,3
343,5
344,4
345,3
346,4
347,3
348,3
349,2
350,4
351,4
352,4
353,2
354,1
355,2
356,2
357,2
358,2
359,3
360,4
361,4
362,0
363,4
364,3
365,2
366,8
367,2
368,3
369,2
370,2
371,1
372,2
373,4
374,1
375,1
376,1
377,4
378,2
379,1
380,1
381,0
382,2
383,1
384,2
385,2
386,2
387,2
388,1
389,8
390,3
391,5
392,8
393,3
394,3
395,2
396,3
397,2
398,2
399,1
400,2
401,0
402,0
403,0
404,4
405,2
406,5
407,2
408,2
409,2
410,2
411,1
412,4
413,2
414,1
415,2
416,3
417,2
418,1
419,2
420,2
421,2
422,2
423,3
424,3
425,2
426,3
427,2
428,1
429,4
430,2
431,1
432,1
433,4
434,4
435,2
436,2
437,2
438,2
439,0
440,1
441,2
442,2
443,4
444,2
445,4
446,2
447,4
448,7
449,4
450,1
451,4
452,2
453,4
454,2
455,3
456,4
457,3
458,4
459,4
460,3
461,4
462,2
463,2
464,2
465,4
466,8
467,4
468,6
469,4
470,4
471,4
472,8
473,8
474,8
475,8
476,4
477,7
478,3
479,2
480,2
481,4
482,7
483,5
484,1
485,1
486,0
487,1
488,1
489,1
490,1
491,2
492,0
493,1
494,1
495,8
496,1
497,1
498,1
499,5
500,1
501,2
502,1
503,4
504,1
505,1
506,2
507,3
508,1
509,0
510,4
511,2
512,7
513,2
514,3
515,4
516,4
517,4
518,3
519,3
520,3
521,2
522,0
523,1
524,3
525,1
526,2
527,2
528,4
529,3
530,3
531,3
532,4
533,2
534,2
535,1
536,1
537,1
538,2
539,2
540,4
541,1
542,2
543,2
544,6
545,1
546,6
547,8
548,2
549,2
550,2
551,1
552,1
553,2
554,3
555,2
556,3
557,2
558,4
559,1
560,1
561,3
562,6
563,5
564,1
565,1
566,2
567,1
568,2
569,8
570,1
571,3
572,4
573,3
574,4
575,2
576,4
577,4
578,4
579,2
580,4
581,2
582,2
583,3
584,3
585,2
586,5
587,4
588,2
589,5
590,2
591,2
592,1
593,2
594,8
595,3
596,3
597,4
598,1
599,1
600,1
601,4
602,4
603,3
604,4
605,4
606,3
607,3
608,4
609,2
610,0
611,1
612,1
613,1
614,6
615,4
616,4
617,2
618,2
619,3
620,2
621,2
622,2
623,2
624,3
625,3
626,3
627,2
628,2
629,2
630,6
631,2
632,3
633,2
634,2
635,3
636,2
637,2
638,2
639,0
640,3
641,3
642,4
643,4
644,6
645,7
646,3
647,2
648,2
649,3
650,2
651,4
652,3
653,4
654,4
655,2
656,1
657,1
658,1
659,1
660,4
661,4
662,1
663,4
664,0
665,3
666,2
667,3
668,1
669,7
670,1
671,0
672,4
673,2
674,1
675,4
676,7
677,3
678,1
679,0
680,2
681,2
682,4
683,2
684,4
685,2
686,2
687,2
688,3
689,4
690,1
691,1
692,4
693,1
694,4
695,8
696,1
697,2
698,0
699,2
700,4
701,2
702,4
703,2
704,2
705,1
706,0
707,1
708,0
709,2
710,3
711,1
712,2
713,8
714,2
715,3
716,3
717,2
718,2
719,4
720,2
721,4
722,3
723,4
724,3
725,3
726,2
727,1
728,1
729,1
730,1
731,1
732,3
733,3
734,2
735,8
736,2
737,5
738,2
739,5
740,1
741,1
742,3
743,1
744,2
745,5
746,5
747,4
748,2
749,3
750,3
751,2
752,2
753,4
754,1
755,2
756,2
757,1
758,4
759,1
760,2
761,4
762,4
763,3
764,3
