"rep","fold","Kb","ll_bin","L1_bin","MSE_bin","ll_bb","L1_bb","MSE_bb","ll_ln","L1_ln","MSE_ln","ll_km","L1_km","MSE_km","ll_bern","L1_bern","MSE_bern"
1,1,8,-7184.59033765391,0.203026825014225,0.00624894212106657,-6706.78705922435,0.0632952171423013,0.000470110638216587,-6710.96286874564,0.0671542174223671,0.000523448286919908,-6709.96844657163,0.0653568981440191,0.000495980544646401,-6680.58994791091,0.0363493955041911,0.000179332829235719
1,2,8,-7118.81007280199,0.190263582232273,0.00573976802897517,-6698.25648659196,0.0691212584282425,0.000605254990057425,-6702.36832771417,0.0731617187804784,0.000662361610547825,-6702.32260664904,0.071067138525091,0.000646686731534385,-6667.67689628901,0.0413159097683038,0.000218039220138072
1,3,8,-7142.41141570097,0.18711509112756,0.00610182281658635,-6692.52181789073,0.0614198468915228,0.000499365308218499,-6695.88092856011,0.065341078630019,0.000539710886545389,-6695.60550760676,0.0634111415581015,0.00052517062929781,-6674.80673334504,0.0464961371828748,0.000321617000654458
1,4,8,-7142.33556484145,0.199207958236022,0.0062359079520761,-6693.85137964196,0.0762771332462852,0.000654936825273343,-6699.05808319376,0.0801770706218012,0.000724350698906614,-6697.99601920303,0.0783283202848514,0.000694133049429155,-6656.72056002838,0.0356978261292175,0.000197026102059402
1,5,8,-7211.26451289773,0.209251638268496,0.00639689240974324,-6726.21846040289,0.0656106369135292,0.000567834117461407,-6729.77093066953,0.0695708192250247,0.000616048051351894,-6729.49748842978,0.0676459466890375,0.000596338713926666,-6699.9118131604,0.0389737104768102,0.000262753472947133
2,1,8,-7175.14728925249,0.198043241183403,0.00601889387910121,-6724.13973565877,0.0675802898374982,0.000604393146906518,-6727.46236080817,0.0716487650666463,0.000652113128782625,-6727.79236167545,0.0695367821572221,0.000641210026305099,-6697.69093378,0.0439036466273301,0.000269311951796335
2,2,8,-7132.67549868197,0.191781682870118,0.00566450408883263,-6691.00784738152,0.0534073460741863,0.000333685780448663,-6694.28889394568,0.0573479545778838,0.000374091274584558,-6694.13079220956,0.0553765643446342,0.000359415567864233,-6672.97801390364,0.0345244515836078,0.000164884053063211
2,3,8,-7182.25484131393,0.203698834406659,0.00637721373282779,-6711.67156936714,0.075223757423279,0.00064526192907529,-6716.50562406856,0.0791320612750482,0.000711337842540799,-6715.48534194919,0.0772859054709815,0.000681794859797983,-6676.8612189102,0.0344693523597759,0.000203248240578236
2,4,8,-7116.63813438529,0.192550533401387,0.00602339782627903,-6684.20075655736,0.0682970171640176,0.000537387485024493,-6688.40057916442,0.072237401646403,0.000590030211360644,-6688.08661920254,0.0702965521212458,0.000571502156132517,-6655.60521880511,0.0403429529990131,0.000222980275585091
2,5,8,-7193.73424213556,0.202780061748675,0.00653873308338648,-6707.14056557206,0.0712120741516438,0.000576852313276577,-6711.8354641396,0.0750357662918549,0.00063732511397481,-6710.45952690673,0.0733100429547067,0.000605160101027172,-6677.00697154373,0.0388510129843833,0.000218223932939784
3,1,8,-7104.89784715029,0.190446846567074,0.00577192756985568,-6676.78307521306,0.0595494760563238,0.00040615344665345,-6680.75323522203,0.0634574084204104,0.000453745599134835,-6680.37617703885,0.0615389734232899,0.00043534021002997,-6652.92622167587,0.0337051788060708,0.000175868987213247
3,2,8,-7182.47658388517,0.198486303207898,0.00621392355005681,-6715.06607986019,0.0624401842371505,0.000497245125517347,-6718.04386246177,0.0664250017816435,0.000535516076350461,-6718.18944994214,0.0644324829505686,0.000523959668180252,-6695.34449105627,0.0439281166261869,0.000287850094110801
3,3,8,-7138.09545387867,0.194462916499225,0.00625986881179514,-6694.84500572098,0.0780183247837591,0.000703060270663158,-6699.85760759076,0.0819463614619598,0.000770214171038286,-6698.97589859843,0.0800503221291571,0.000743413865970994,-6659.05902473137,0.0405899621211627,0.000251082214322361
3,4,8,-7121.86718072246,0.196883693341684,0.00574157248472676,-6692.22276393389,0.0630215024370727,0.000496593409079158,-6696.26810076508,0.0670073304430703,0.000550091625945987,-6696.11723084417,0.0649946958861113,0.000532163108385004,-6663.23443957118,0.0305418967690739,0.00016853936434757
3,5,8,-7251.29921231609,0.20859770324091,0.00665516997726291,-6738.8291324843,0.0727172217946378,0.000620767462934758,-6743.18711296029,0.0765911212741484,0.000682188445250299,-6741.83758625915,0.0748147558784208,0.000650110727217279,-6708.80676380221,0.034877683718058,0.000218309850054114
