"K","logLik","AIC","BIC"
1,-34328.464,68660.929,68676.695
2,-33695.494,67396.988,67420.638
3,-33528.231,67064.463,67095.996
4,-33467.941,66945.881,66985.298
5,-33443.547,66899.095,66946.395
6,-33401.759,66817.517,66872.701
7,-33395.047,66806.093,66869.16
8,-33377.473,66772.947,66843.897
9,-33376.751,66773.501,66852.334
10,-33367.996,66757.991,66844.708
11,-33361.865,66747.729,66842.329
12,-33358.291,66742.583,66845.066
13,-33351.848,66731.696,66842.063
14,-33350.244,66730.487,66848.737
15,-33346.838,66725.677,66851.81
16,-33343.967,66721.935,66855.951
17,-33341.953,66719.906,66861.806
18,-33339.298,66716.595,66866.379
19,-33337.42,66714.84,66872.507
20,-33335.616,66713.232,66878.782
21,-33333.889,66711.779,66885.212
22,-33332.464,66710.927,66892.244
23,-33331.067,66710.135,66899.335
24,-33329.796,66709.592,66906.675
25,-33328.639,66709.278,66914.245
26,-33327.547,66709.095,66921.945
27,-33326.545,66709.09,66929.823
28,-33325.614,66709.227,66937.844
29,-33324.744,66709.487,66945.987
30,-33323.934,66709.868,66954.252
