"K","BIC_train","CV_mean_ll","CV_mean_mse"
1,48099.4154,-4808.2429,0.0027
2,47189.1819,-4716.4971,7e-04
3,46941.3427,-4690.7033,6e-04
4,46872.4428,-4682.7588,3e-04
5,46844.4948,-4679.429,4e-04
6,46797.401,-4673.5215,2e-04
7,46795.9829,-4672.709,3e-04
8,46781.3113,-4669.8913,2e-04
9,46789.7195,-4670.1858,2e-04
10,46786.7958,-4668.8813,2e-04
11,46789.2331,-4668.0424,2e-04
12,46793.3535,-4667.5473,2e-04
13,46794.4577,-4666.5768,2e-04
14,46801.7664,-4666.4648,2e-04
15,46806.5397,-4665.9419,2e-04
16,46812.4279,-4665.4901,1e-04
17,46819.1569,-4665.5472,2e-04
18,46825.1794,-4665.0076,1e-04
19,46832.2269,-4664.6007,1e-04
20,46839.31,-4664.5576,1e-04
21,46846.5527,-4664.4333,1e-04
22,46854.1639,-4664.0391,1e-04
23,46861.8244,-4663.9862,1e-04
24,46869.6607,-4663.704,1e-04
25,46877.6425,-4663.5544,1e-04
26,46885.7168,-4663.1865,1e-04
27,46893.9096,-4663.2782,1e-04
28,46902.1965,-4663.1823,1e-04
29,46910.5664,-4663.083,1e-04
30,46919.0168,-4663.0468,1e-04
