"x","m","group","trisk"
0,12,"CTRL",11.534
5,30,"TREAT",25.422
1,9,"TREAT",8.515
2,8,"TREAT",7.036
2,10,"TREAT",7.885
2,3,"CTRL",2.364
4,12,"TREAT",8.8
2,4,"CTRL",2.337
0,4,"TREAT",3.474
1,1,"TREAT",0.238
0,2,"TREAT",1.764
1,4,"TREAT",4.415
2,6,"TREAT",5.556
0,3,"CTRL",3
1,9,"TREAT",10.695
0,2,"TREAT",1.299
0,3,"CTRL",3
0,4,"TREAT",3.989
2,3,"CTRL",1.334
0,1,"TREAT",0.844
0,4,"CTRL",3.953
2,7,"TREAT",6.381
0,2,"TREAT",2.345
4,22,"TREAT",20.419
4,16,"TREAT",12.974
0,1,"CTRL",1
0,6,"TREAT",6.814
2,4,"CTRL",3.353
3,20,"TREAT",19.64
1,5,"TREAT",5.622
0,4,"TREAT",4
0,4,"CTRL",3.373
2,6,"TREAT",4.323
3,23,"CTRL",23.169
7,15,"CTRL",11.483
2,7,"CTRL",5.995
4,8,"CTRL",5.351
2,10,"TREAT",8.985
5,10,"TREAT",6.768
2,5,"CTRL",3.345
4,6,"CTRL",2.096
4,8,"CTRL",6.156
3,8,"CTRL",4.69
2,10,"TREAT",8.917
0,1,"TREAT",1
1,6,"TREAT",4.923
4,8,"CTRL",4.079
0,7,"TREAT",7.667
0,5,"TREAT",5.983
2,6,"TREAT",4.376
1,6,"TREAT",4.965
1,4,"CTRL",3.104
1,11,"CTRL",11.067
4,9,"CTRL",6.447
0,2,"CTRL",1.956
0,1,"TREAT",1
0,2,"TREAT",2.361
7,26,"TREAT",23.112
3,3,"CTRL",0.375
1,4,"TREAT",4.158
0,2,"TREAT",2
0,11,"TREAT",10.586
0,3,"CTRL",3
1,6,"TREAT",5.903
1,8,"TREAT",9.296
3,6,"TREAT",3.801
1,2,"TREAT",1.997
5,8,"CTRL",4.381
1,4,"TREAT",3.718
0,3,"TREAT",2.48
18,26,"CTRL",12.857
0,6,"TREAT",6.512
1,3,"TREAT",2.403
0,1,"CTRL",1.841
0,2,"TREAT",3.165
