x,m,grp,hb
1,10,1,4.1
4,11,1,3.2
9,12,1,4.7
4,4,1,3.5
10,10,1,3.2
9,11,1,5.9
9,9,1,4.7
11,11,1,4.7
10,10,1,3.5
7,10,1,4.8
12,12,1,4.3
9,10,1,4.1
8,8,1,3.2
9,11,1,6.3
4,6,1,4.3
7,9,1,3.1
14,14,1,3.6
7,12,1,4.1
9,11,1,4.8
8,13,1,4.7
5,14,1,4.8
10,10,1,6.7
10,12,1,5.2
8,13,1,4.3
10,10,1,3.9
3,14,1,6.3
13,13,1,4.4
3,4,1,5.2
8,8,1,3.9
5,13,1,7.7
12,12,1,5
1,10,2,8.6
1,3,2,11.1
1,13,2,7.2
0,12,2,8.8
4,14,2,9.3
2,9,2,9.3
2,13,2,8.5
1,16,2,9.4
0,11,2,6.9
0,4,2,8.9
0,1,2,11.1
0,12,2,9
0,8,3,11.2
1,11,3,11.5
0,14,3,12.6
1,14,3,9.5
0,11,3,9.8
0,3,4,16.6
0,13,4,14.5
2,9,4,15.4
2,17,4,14.5
0,15,4,14.6
0,2,4,16.5
1,14,4,14.8
0,8,4,13.6
0,6,4,14.5
0,17,4,12.4
