"x","m","TypeF","TypeM"
3,3,"R","R"
2,3,"R","W"
3,3,"R","R"
3,3,"R","W"
3,3,"R","R"
2,3,"R","W"
2,3,"R","W"
3,3,"R","R"
3,3,"R","R"
3,3,"R","W"
2,3,"R","R"
3,3,"R","W"
1,3,"R","R"
0,3,"R","W"
1,3,"R","W"
2,3,"R","R"
2,3,"R","W"
2,3,"R","R"
0,3,"R","R"
2,3,"R","W"
1,3,"W","R"
3,3,"W","W"
1,3,"W","W"
0,3,"W","R"
1,3,"W","W"
0,3,"W","R"
1,3,"W","R"
3,3,"W","W"
0,3,"W","R"
1,3,"W","W"
0,3,"W","R"
1,3,"W","W"
3,3,"W","W"
2,3,"W","R"
0,3,"W","R"
3,3,"W","W"
2,3,"W","R"
3,3,"W","W"
1,3,"W","R"
2,3,"W","W"
0,3,"R","W"
3,3,"R","R"
2,3,"R","W"
2,3,"R","R"
3,3,"R","W"
2,3,"R","R"
1,3,"R","R"
0,3,"R","W"
0,3,"R","W"
2,3,"R","R"
2,3,"R","W"
1,3,"R","R"
1,3,"R","W"
3,3,"R","R"
0,3,"R","R"
2,3,"R","W"
3,3,"R","R"
2,3,"R","W"
2,3,"R","W"
1,3,"R","R"
2,3,"W","W"
0,3,"W","R"
0,3,"W","R"
2,3,"W","W"
0,3,"W","R"
3,3,"W","W"
2,3,"W","W"
1,3,"W","R"
0,3,"W","W"
0,3,"W","R"
3,3,"W","W"
2,3,"W","R"
0,3,"W","R"
2,3,"W","W"
0,3,"W","W"
0,3,"W","R"
3,3,"W","W"
3,3,"W","R"
3,3,"W","W"
1,3,"W","R"
3,3,"R","R"
2,3,"R","W"
0,3,"R","R"
1,3,"R","W"
3,3,"R","R"
2,3,"R","W"
1,3,"R","W"
2,3,"R","R"
2,3,"R","R"
1,3,"R","W"
3,3,"R","R"
2,3,"R","W"
1,3,"R","R"
0,3,"R","W"
3,3,"R","W"
2,3,"R","R"
2,3,"R","W"
1,3,"R","R"
3,3,"R","R"
2,3,"R","W"
0,3,"W","R"
2,3,"W","W"
3,3,"W","W"
0,3,"W","R"
1,3,"W","W"
2,3,"W","R"
2,3,"W","R"
1,3,"W","W"
1,3,"W","R"
3,3,"W","W"
0,3,"W","R"
1,3,"W","W"
2,3,"W","W"
0,3,"W","R"
0,3,"W","R"
2,3,"W","W"
0,3,"W","R"
2,3,"W","W"
0,3,"W","R"
2,3,"W","W"
