"Model","npar","K","test_logLik","test_MAE","label"
"Logistic",3,NA,-51.1153407304959,0.274804570492972,"salamander"
"Beta-Binomial-reg",4,NA,-50.702283930349,0.273707434714463,"salamander"
"Bern-Bino-reg(BIC)",5,1,-47.7676796582408,0.236671375075259,"salamander"
"Bern-Bino-reg(CV)",9,3,-46.8442912874869,0.257407406178594,"salamander"
"Logistic",3,NA,-37.6000284163473,0.194961010651712,"dja"
"Beta-Binomial-reg",4,NA,-35.1413157151824,0.191273360916963,"dja"
"Bern-Bino-reg(BIC)",5,1,-34.7966366321156,0.220870508974391,"dja"
"Bern-Bino-reg(CV)",19,8,-33.7421450175521,0.183013690500467,"dja"
"Logistic",3,NA,-12.3277637446766,0.149012116564233,"orob2"
"Beta-Binomial-reg",4,NA,-12.7182099350692,0.151775665678134,"orob2"
"Bern-Bino-reg(BIC)",5,1,-15.2799243799023,0.142414037575317,"orob2"
"Bern-Bino-reg(CV)",17,7,-14.2172629969582,0.16690627155319,"orob2"
"Logistic",4,NA,-57.3506045369786,0.153578413319946,"cbpp"
"Beta-Binomial-reg",5,NA,-43.8250697757586,0.153479177429601,"cbpp"
"Bern-Bino-reg(BIC)",12,4,-34.4764429370464,0.142891603079297,"cbpp"
"Bern-Bino-reg(CV)",12,4,-34.4764422548516,0.142891593504359,"cbpp"
"Logistic",5,NA,-47.6477463225674,0.164501736913212,"lirat"
"Beta-Binomial-reg",6,NA,-35.1544128288612,0.171650748199063,"lirat"
"Bern-Bino-reg(BIC)",11,3,-34.1869321887268,0.169858164711083,"lirat"
"Bern-Bino-reg(CV)",15,5,-37.0914945815971,0.210794097696779,"lirat"
