"x","m","gender","type","size","bachelor","language"
39,56,0,"3",300,0.11,0.36
35,56,0,"3",300,0.11,0.36
38,56,1,"3",300,0.11,0.36
32,56,1,"3",300,0.11,0.36
40,56,0,"3",300,0.11,0.36
31,56,1,"3",300,0.11,0.36
38,56,0,"3",300,0.11,0.36
34,56,0,"3",300,0.11,0.36
32,56,0,"3",300,0.11,0.36
34,56,1,"3",300,0.11,0.36
36,56,0,"3",300,0.11,0.36
38,56,1,"3",300,0.11,0.36
34,56,0,"3",300,0.11,0.36
29,56,0,"3",300,0.11,0.36
34,56,0,"3",300,0.11,0.36
30,56,1,"3",300,0.11,0.36
39,56,1,"3",300,0.11,0.36
27,56,0,"3",300,0.11,0.36
37,56,0,"3",300,0.11,0.36
33,56,0,"3",300,0.11,0.36
37,56,1,"3",300,0.11,0.36
30,56,0,"3",300,0.11,0.36
37,56,0,"3",300,0.11,0.36
34,56,0,"3",1100,1.91,0.14
32,56,0,"3",1100,1.91,0.14
36,56,0,"3",1100,1.91,0.14
36,56,0,"3",1100,1.91,0.14
34,56,0,"3",1100,1.91,0.14
34,56,0,"3",1100,1.91,0.14
34,56,1,"3",1100,1.91,0.14
34,56,0,"3",1100,1.91,0.14
36,56,0,"3",1100,1.91,0.14
39,56,1,"3",1100,1.91,0.14
27,56,0,"3",1100,1.91,0.14
32,56,0,"3",1100,1.91,0.14
34,56,0,"3",1100,1.91,0.14
37,56,1,"3",1100,1.91,0.14
30,56,0,"3",1100,1.91,0.14
37,56,0,"3",1100,1.91,0.14
30,56,1,"3",1100,1.91,0.14
34,56,0,"3",1100,1.91,0.14
29,56,0,"3",1100,1.91,0.14
30,56,0,"3",1100,1.91,0.14
30,56,1,"3",1100,1.91,0.14
36,56,1,"3",1100,1.91,0.14
25,56,1,"3",1100,1.91,0.14
32,56,0,"3",1100,1.91,0.14
42,56,1,"3",1100,1.91,0.14
40,56,0,"3",1100,1.91,0.14
30,56,1,"3",1100,1.91,0.14
38,56,1,"3",1100,1.91,0.14
35,56,1,"3",1100,1.91,0.14
41,56,0,"3",1100,1.91,0.14
34,56,0,"3",1100,1.91,0.14
30,56,0,"3",1100,1.91,0.14
34,56,1,"3",1100,1.91,0.14
36,56,1,"3",1100,1.91,0.14
32,56,0,"3",1100,1.91,0.14
31,56,0,"3",1100,1.91,0.14
31,56,0,"3",1100,1.91,0.14
34,56,1,"3",1100,1.91,0.14
34,56,1,"3",1100,1.91,0.14
40,56,0,"3",1100,1.91,0.14
32,56,0,"3",1100,1.91,0.14
39,56,1,"3",1100,1.91,0.14
36,56,1,"3",1100,1.91,0.14
30,56,0,"3",1100,1.91,0.14
37,56,1,"3",1100,1.91,0.14
35,56,1,"3",1100,1.91,0.14
33,56,0,"3",1100,1.91,0.14
35,56,0,"3",1100,1.91,0.14
31,56,1,"3",1100,1.91,0.14
34,56,0,"3",1100,1.91,0.14
36,56,1,"3",1100,1.91,0.14
36,56,0,"3",1100,1.91,0.14
35,56,1,"3",1100,1.91,0.14
37,56,0,"3",1100,1.91,0.14
35,56,0,"3",1100,1.91,0.14
35,56,1,"3",1100,1.91,0.14
36,56,1,"3",1100,1.91,0.14
45,56,0,"3",1100,1.91,0.14
39,56,1,"3",1100,1.91,0.14
41,56,1,"3",1100,1.91,0.14
35,56,1,"3",1100,1.91,0.14
41,56,0,"3",1100,1.91,0.14
32,56,0,"3",1100,1.91,0.14
32,56,0,"3",1100,1.91,0.14
38,56,0,"3",1100,1.91,0.14
41,56,1,"3",1100,1.91,0.14
32,56,0,"3",1100,1.91,0.14
35,56,0,"3",1100,1.91,0.14
33,56,1,"3",1100,1.91,0.14
37,56,1,"3",1100,1.91,0.14
35,56,1,"3",1100,1.91,0.14
34,56,0,"3",1100,1.91,0.14
41,56,1,"3",1100,1.91,0.14
37,56,0,"3",1100,1.91,0.14
34,56,0,"3",1100,1.91,0.14
37,56,0,"3",1100,1.91,0.14
38,56,0,"3",1100,1.91,0.14
39,56,1,"3",1100,1.91,0.14
34,56,1,"3",1100,1.91,0.14
40,56,1,"3",1100,1.91,0.14
39,56,0,"3",1100,1.91,0.14
37,56,1,"3",1100,1.91,0.14
32,56,0,"3",1100,1.91,0.14
34,56,0,"3",1100,1.91,0.14
34,56,1,"3",1100,1.91,0.14
34,56,1,"3",1100,1.91,0.14
32,56,0,"3",1100,1.91,0.14
35,56,0,"3",1100,1.91,0.14
35,56,1,"3",1100,1.91,0.14
37,56,0,"3",1100,1.91,0.14
33,56,1,"3",1100,1.91,0.14
37,56,1,"3",1100,1.91,0.14
32,56,0,"3",1100,1.91,0.14
33,56,0,"3",1100,1.91,0.14
37,56,0,"3",1100,1.91,0.14
35,56,1,"3",1100,1.91,0.14
32,56,0,"3",1100,1.91,0.14
34,56,0,"3",1100,1.91,0.14
35,56,0,"3",1100,-0.63,-1.28
31,56,0,"3",1100,-0.63,-1.28
35,56,1,"3",1100,-0.63,-1.28
36,56,0,"3",1100,-0.63,-1.28
29,56,0,"3",1100,-0.63,-1.28
33,56,1,"3",1100,-0.63,-1.28
27,56,1,"3",1100,-0.63,-1.28
34,56,1,"3",1100,-0.63,-1.28
27,56,1,"3",1100,-0.63,-1.28
31,56,0,"3",1100,-0.63,-1.28
31,56,0,"3",1100,-0.63,-1.28
32,56,1,"3",1100,-0.63,-1.28
31,56,0,"3",1100,-0.63,-1.28
31,56,0,"3",1100,-0.63,-1.28
34,56,0,"3",1100,-0.63,-1.28
37,56,0,"3",1100,-0.63,-1.28
28,56,0,"3",1100,-0.63,-1.28
27,56,1,"3",1100,-0.63,-1.28
30,56,1,"3",1100,-0.63,-1.28
34,56,1,"3",1100,-0.63,-1.28
30,56,1,"3",1100,-0.63,-1.28
34,56,1,"3",1100,-0.63,-1.28
32,56,1,"3",1100,-0.63,-1.28
36,56,0,"3",1100,-0.63,-1.28
32,56,1,"3",1100,-0.63,-1.28
32,56,0,"3",1100,-0.63,-1.28
37,56,0,"3",1100,-0.63,-1.28
34,56,1,"3",1100,-0.63,-1.28
29,56,0,"3",1100,-0.63,-1.28
37,56,0,"3",1100,-0.63,-1.28
32,56,1,"3",1100,-0.63,-1.28
36,56,0,"3",1100,-0.63,-1.28
26,56,1,"3",1100,-0.63,-1.28
37,56,0,"3",1100,-0.63,-1.28
33,56,1,"3",1100,-0.63,-1.28
35,56,1,"3",1100,-0.63,-1.28
37,56,1,"3",1100,-0.63,-1.28
33,56,0,"3",1100,-0.63,-1.28
35,56,1,"3",1100,-0.63,-1.28
35,56,0,"3",1100,-0.63,-1.28
26,56,0,"3",1100,-0.63,-1.28
32,56,0,"3",1100,-0.63,-1.28
29,56,1,"3",1100,-0.63,-1.28
36,56,0,"3",1100,-0.63,-1.28
29,56,1,"3",1100,-0.63,-1.28
31,56,1,"3",1100,-0.63,-1.28
33,56,0,"3",1100,-0.63,-1.28
33,56,0,"3",1100,-0.63,-1.28
30,56,0,"3",1100,-0.63,-1.28
39,56,0,"3",1100,-0.63,-1.28
34,56,1,"3",1100,-0.63,-1.28
30,56,1,"2",600,2.13,1.19
29,56,1,"2",600,2.13,1.19
35,56,1,"2",600,2.13,1.19
33,56,0,"2",600,2.13,1.19
36,56,1,"2",600,2.13,1.19
32,56,0,"2",600,2.13,1.19
29,56,0,"2",600,2.13,1.19
39,56,1,"2",600,2.13,1.19
39,56,1,"2",600,2.13,1.19
28,56,0,"2",600,2.13,1.19
33,56,1,"2",600,2.13,1.19
37,56,1,"2",600,2.13,1.19
35,56,1,"3",1600,0.14,0.34
33,56,0,"3",1600,0.14,0.34
35,56,0,"3",1600,0.14,0.34
