"x","m","female","hisei","age"
17,23,0,99,186
14,23,1,51,186
22,23,1,66,190
22,23,1,88,194
20,23,1,56,185
23,23,1,57,190
12,23,1,45,193
14,23,0,38,189
17,23,1,43,191
13,23,0,53,189
16,23,0,55,189
10,23,0,43,187
12,23,0,52,184
13,23,0,77,185
18,23,0,43,191
11,23,1,53,184
1,23,0,66,186
19,23,1,32,193
11,23,0,31,188
16,23,1,69,187
17,23,1,69,191
18,23,0,78,189
22,23,0,67,190
18,23,0,45,189
13,23,0,34,186
10,23,0,50,189
17,23,0,29,185
5,23,1,52,185
0,23,0,28,188
10,23,1,33,191
6,23,1,52,188
18,23,1,53,193
16,23,0,51,190
12,23,1,59,187
13,23,1,43,186
12,23,0,43,190
11,23,0,34,188
9,23,1,50,187
8,23,1,55,191
4,23,0,38,193
14,23,0,43,187
20,23,1,69,193
10,23,0,51,186
16,23,1,32,188
15,23,0,51,185
9,23,1,38,193
16,23,0,53,192
20,23,1,53,193
9,23,1,43,188
14,23,1,53,193
17,23,1,60,184
14,23,1,51,193
18,23,1,56,192
18,23,1,53,185
13,23,1,50,183
11,23,1,56,187
17,23,0,51,184
7,23,0,51,194
19,23,0,69,192
10,23,1,51,194
18,23,1,56,187
5,23,1,51,185
19,23,1,69,188
22,23,1,45,187
11,23,1,66,183
19,23,0,55,192
19,23,1,71,194
17,23,1,69,187
20,23,1,53,189
14,23,0,43,185
17,23,1,51,189
22,23,0,53,184
18,23,0,51,191
20,23,1,73,184
14,23,1,43,190
17,23,1,54,191
18,23,0,69,188
20,23,1,55,184
15,23,0,55,185
12,23,0,43,192
8,23,1,69,189
11,23,1,34,190
12,23,0,30,186
15,23,1,43,190
12,23,0,40,191
12,23,1,99,188
19,23,1,54,187
18,23,1,56,186
17,23,0,69,190
20,23,1,77,194
20,23,0,69,194
15,23,0,55,194
11,23,0,56,185
5,23,1,33,187
12,23,1,34,188
14,23,0,51,190
17,23,0,53,189
19,23,1,66,191
16,23,0,55,189
18,23,1,43,184
18,23,1,69,183
16,23,1,53,194
15,23,1,49,191
3,23,1,30,184
8,23,0,99,185
16,23,1,23,187
7,23,1,38,194
20,23,1,38,192
16,23,0,53,193
13,23,0,40,189
14,23,1,54,190
13,23,1,23,183
19,23,1,56,189
15,23,0,69,183
17,23,0,73,188
20,23,1,70,189
18,23,1,16,191
18,23,0,69,194
17,23,1,69,185
14,23,0,43,186
2,23,0,60,183
11,23,0,43,192
16,23,0,29,189
20,23,1,54,190
16,23,1,51,191
22,23,0,30,191
16,23,0,53,190
16,23,0,67,184
16,23,0,33,188
4,23,1,16,194
6,23,0,16,186
6,23,0,43,186
4,23,0,34,187
4,23,0,39,185
17,23,1,43,186
19,23,1,38,186
17,23,0,78,185
18,23,1,40,193
13,23,0,38,190
13,23,1,51,183
15,23,1,55,191
8,23,1,51,189
19,23,1,74,187
22,23,1,51,185
10,23,1,38,193
14,23,0,55,193
7,23,0,38,193
21,23,0,85,190
20,23,0,48,185
