"bin","obs","logistic","bbreg","bern"
1,0.426573426573427,0.41547591461797,0.413034795054846,0.34293402918305
2,0.562937062937063,0.547224933396826,0.547512763447317,0.484930113827311
3,0.475524475524476,0.508979906204465,0.508313532712655,0.488873784538577
4,0.501831501831502,0.467519415591246,0.46540776362013,0.492754659003239
5,0.531468531468531,0.443204400733953,0.440187435368419,0.505377461302092
6,0.65034965034965,0.618809315724709,0.619101816526791,0.583290805395618
7,0.604395604395604,0.639862449729787,0.640938798919495,0.583466871063407
8,0.615384615384615,0.668136257944492,0.66967479410014,0.647541665010766
9,0.601398601398601,0.682774683257302,0.685195531676904,0.666666666666667
10,0.793706293706294,0.746360419126573,0.749799229218147,0.816021720190125
