"K","train_ll","BIC","CV_mean_logLik","CV_mean_MSE"
1,-1277.93727201162,2593.29276156446,-259.090716421228,0.0502294234920945
2,-1217.25496183563,2484.40088039289,-245.93285545325,0.0403213102581526
3,-1195.43780146125,2453.23929882454,-242.657925225352,0.0405610983369696
4,-1171.44321948472,2417.72287405188,-235.635052199665,0.0356049242852598
5,-1169.28574358686,2425.88066143658,-235.491442326683,0.0366565704108624
6,-1154.50635778035,2408.79462900396,-234.456259320632,0.0359186867859395
7,-1158.60862839205,2429.47190940777,-238.021879606043,0.0387960537487264
8,-1151.67601976985,2428.07943134377,-234.227185853396,0.0359896450771831
9,-1153.60086790613,2444.40186679675,-236.278951195236,0.0368946986331149
10,-1148.71083305233,2447.09453626955,-232.680723295106,0.0353137155445912
11,-1139.94901818142,2442.04364570813,-234.224894136172,0.036170666752248
12,-1142.43288174454,2459.48411201478,-233.891290460851,0.0365422552182427
13,-1140.71523057274,2468.52154885159,-239.093146072036,0.0388846967262906
14,-1139.0202208486,2477.60426858373,-238.220803029439,0.0387747441500618
15,-1144.98902435627,2502.01461477946,-237.282536777049,0.0373964606409464
