"term","estimate","se"
"phi_0",0,NA
"phi_1",-307.372345644663,NA
"phi_2",-50.8777844137088,NA
"phi_3",-695.757314053326,NA
"phi_4",-47.9657082295928,NA
"phi_5",3.08763177656705,NA
"phi_6",-10.963376574329,NA
"phi_7",-139.218796317972,NA
"phi_8",-427.672144713918,NA
"phi_9",-13.1293442404592,NA
"phi_10",-432.562244440786,NA
"gamma_0",1,NA
"gamma_1",-28.0127546666303,NA
"gamma_2",4.32678981154225,NA
"gamma_3",-63.5874856748916,NA
"gamma_4",-1.75843878667213,NA
"gamma_5",0.834023561006084,NA
"gamma_6",21.4299341670033,NA
"gamma_7",46.3815529574536,NA
"gamma_8",71.3226829192506,NA
"gamma_9",3.13547994347225,NA
"gamma_10",71.7090510310063,NA
"beta_tests",8.4203095803678,NA
"beta_genderM",-0.11806169080477,NA
"beta_study571",0.213872616329089,NA
"beta_semester",0.781008603899628,NA
