"K","A_train_ll","A_BIC","A_CV_logLik","A_CV_MSE","B_train_ll","B_BIC","B_CV_logLik","B_CV_MSE"
1,-1280.36887016472,2591.91958828047,-259.513254022502,0.0507996913863225,-1277.93727201162,2593.29276156446,-258.840904499693,0.0489926071665517
2,-1230.49816824907,2523.36003240018,-248.662889550482,0.044546733385074,-1218.20144478263,2486.2938462869,-247.31029111982,0.0415971204878519
3,-1194.45554818933,2482.45664023172,-242.57243107878,0.040795906808462,-1198.23179567749,2458.82728725702,-241.793432535403,0.0400761610738882
4,-1169.31311422137,2463.35362024681,-239.528803234566,0.039205024678729,-1171.44321948472,2417.72287405188,-237.113998817607,0.0367600704734308
5,-1175.98055949025,2507.8703587356,-240.204227667181,0.0405427603696559,-1170.41579293618,2428.14076013521,-238.706419091775,0.0383150422770884
6,-1152.41692958451,2491.92494687512,-236.608031788204,0.0378750268318835,-1159.95177077615,2419.68545499555,-235.188850186336,0.0366794698029347
7,-1163.8804676029,2546.03387086293,-241.713219212136,0.0419244950768932,-1159.22398562786,2430.70262387938,-236.0148760495,0.0374768794246289
8,-1154.51616113905,2558.48710588625,-238.357987240999,0.0390972873526144,-1151.67601976985,2428.07943134377,-235.913564772496,0.0373082623184219
9,-1150.94518938799,2582.52701033515,-240.276256348668,0.0401136037237006,-1153.60086790613,2444.40186679675,-236.274711427261,0.0377191093994547
10,-1141.83865710099,2595.49579371216,-239.249983712189,0.0394697271492144,-1148.71083305233,2447.09453626955,-235.836824312039,0.0370926456226954
