"term","estimate"
"beta__k1",-3.74989147218799
"beta_tests_k1",-11.5379567328749
"beta_genderM_k1",-2.89325134350124
"beta_study571_k1",-2.28928353941416
"beta_semester_k1",-4.24236354631555
"beta__k2",-194.835011974135
"beta_tests_k2",-574.229441708534
"beta_genderM_k2",98.9292829850032
"beta_study571_k2",57.5152608815074
"beta_semester_k2",-132.13155081489
"beta__k3",289.633849270579
"beta_tests_k3",-199.223977888212
"beta_genderM_k3",46.1891426010161
"beta_study571_k3",11.014128921182
"beta_semester_k3",-65.3310786065736
"beta__k4",305.145568357648
"beta_tests_k4",39.3570767871003
"beta_genderM_k4",-52.5314244782607
"beta_study571_k4",21.5522484414159
"beta_semester_k4",52.1590255938957
"beta__k5",-122.447755199469
"beta_tests_k5",363.518170857821
"beta_genderM_k5",-4.93112121646904
"beta_study571_k5",-52.9864727236983
"beta_semester_k5",95.166676672148
"beta__k6",-207.684411529012
"beta_tests_k6",402.618328246968
"beta_genderM_k6",-46.2277709832029
"beta_study571_k6",20.3852801558152
"beta_semester_k6",64.7043542060724
