"bin","obs","logistic","bbreg","bern"
1,0.426573426573427,0.378653099142418,0.375103941860896,0.348003765833643
2,0.56993006993007,0.486748321584438,0.485421769347254,0.5
3,0.496503496503497,0.510078426248372,0.508485809425104,0.5
4,0.494505494505495,0.481884982800315,0.48024277988972,0.5
5,0.510489510489511,0.525692721096601,0.525876308601739,0.513827610333787
6,0.63986013986014,0.616350542255421,0.616932468331636,0.603033862550742
7,0.615384615384615,0.642438307649994,0.643211449409658,0.607513218405689
8,0.601398601398601,0.657255503093809,0.658570762138219,0.615959099760194
9,0.615384615384615,0.693853016808759,0.696182985572163,0.637908974215552
10,0.793706293706294,0.746162840425798,0.749915807284809,0.817082546805518
