"K","train_ll","BIC","CV_mean_logLik","CV_mean_MSE"
1,-1280.57819983471,2604.81098680085,-258.698649087356,0.0497472087457743
2,-1230.49398653561,2517.11529938305,-245.859749877061,0.0409445606629583
3,-1197.52956877449,2463.65920304121,-241.445168517009,0.0379636816965501
4,-1171.3778996056,2423.82860388385,-236.19446877364,0.0356086618379219
5,-1169.68058249638,2432.90670884582,-238.910545113791,0.0390677985602082
6,-1152.87774957685,2411.77378218716,-231.898071612421,0.0343561789047856
7,-1156.595223894,2431.68147000187,-233.045309651237,0.0353236132655419
8,-1150.88643791027,2432.73663721481,-231.887113235957,0.0348949489493365
9,-1151.72067241022,2446.87784539512,-232.356931051039,0.0352417877282496
10,-1141.66628970624,2439.24181916758,-232.032174369532,0.0347734749444464
