"term","estimate","se","group"
"phi_0",0,0,"phi"
"phi_1",-22.3673528119486,NA,"phi"
"phi_2",-291.796462052209,NA,"phi"
"phi_3",9.89280147904964,NA,"phi"
"phi_4",318.955441965124,NA,"phi"
"phi_5",236.927607449388,NA,"phi"
"phi_6",232.355148342123,NA,"phi"
"phi_7",-219.740953022564,NA,"phi"
"phi_8",-228.471478185919,NA,"phi"
"gamma_0",1,0,"gamma"
"gamma_1",-14.3155778285209,NA,"gamma"
"gamma_2",-54.3436383543682,NA,"gamma"
"gamma_3",-6.90349052596123,NA,"gamma"
"gamma_4",-47.7308013987464,NA,"gamma"
"gamma_5",35.6727551698339,NA,"gamma"
"gamma_6",35.7334528644663,NA,"gamma"
"gamma_7",40.6378895643945,NA,"gamma"
"gamma_8",40.7187575926953,NA,"gamma"
"beta0",-4.13090139738148,NA,"beta"
"beta_tests",69.7191988164939,NA,"beta"
"beta_genderM",-1.03073301333575,NA,"beta"
"beta_study571",1.85682452612642,NA,"beta"
"beta_semester",5.64592528301669,NA,"beta"
