"x","train_n","test_n","train_pct","test_pct"
0,8,1,1.56555772994129,0.458715596330275
1,13,3,2.5440313111546,1.37614678899083
2,18,6,3.52250489236791,2.75229357798165
3,25,8,4.89236790606654,3.6697247706422
4,34,16,6.65362035225049,7.3394495412844
5,38,27,7.43639921722114,12.3853211009174
6,57,14,11.1545988258317,6.42201834862385
7,64,40,12.5244618395303,18.348623853211
8,79,19,15.4598825831703,8.71559633027523
9,56,25,10.958904109589,11.4678899082569
10,42,25,8.21917808219178,11.4678899082569
11,36,14,7.04500978473581,6.42201834862385
12,20,9,3.91389432485323,4.12844036697248
13,21,11,4.10958904109589,5.04587155963303
