"p","mean_prior"
0,6.15764636725433e-200
0.005,0.00436974318161402
0.01,0.00885569666009605
0.015,0.0134875265218109
0.02,0.0182934182477822
0.025,0.0233001009898303
0.03,0.0285328717569208
0.035,0.034015619511723
0.04,0.0397708491773798
0.045,0.0458197055544876
0.05,0.0521819971482862
0.055,0.0588762199060606
0.06,0.0659195808647519
0.065,0.0733280217087795
0.07,0.0811162422380738
0.075,0.089297723746319
0.08,0.0978847523094072
0.085,0.106888441984102
0.09,0.116318757916912
0.095,0.12618453936318
0.1,0.136493522616373
0.105,0.147252363847594
0.11,0.158466661855293
0.115,0.1701409807252
0.12,0.182278872400459
0.125,0.194882899161978
0.13,0.207954656018985
0.135,0.221494793009801
0.14,0.235503037412819
0.145,0.249978215867693
0.15,0.26491827640674
0.155,0.280320310396549
0.16,0.296180574389807
0.165,0.312494511887329
0.17,0.329256775010301
0.175,0.346461246082734
0.18,0.364101059124129
0.185,0.382168621252347
0.19,0.400655633996702
0.195,0.419553114521249
0.2,0.438851416758294
0.205,0.458540252452111
0.21,0.478608712112865
0.215,0.499045285880756
0.22,0.519837884300362
0.225,0.540973859005201
0.23,0.562440023312495
0.235,0.584222672728159
0.24,0.606307605361981
0.245,0.628680142253031
0.25,0.651325147605268
0.255,0.674227048933362
0.26,0.697369857118727
0.265,0.720737186375765
0.27,0.744312274128319
0.275,0.768078000796335
0.28,0.792016909492738
0.285,0.816111225630518
0.29,0.840342876440023
0.295,0.864693510396468
0.3,0.889144516557648
0.305,0.913677043811867
0.31,0.938272020036076
0.315,0.962910171164224
0.32,0.987572040165806
0.325,1.01223800593465
0.33,1.03688830208787
0.335,1.06150303567509
0.34,1.08606220579781
0.345,1.11054572213905
0.35,1.13493342340315
0.355,1.1592050956658
0.36,1.18334049063431
0.365,1.20731934381802
0.37,1.23112139260901
0.375,1.25472639427294
0.38,1.27811414385015
0.385,1.30126449196695
0.39,1.32415736255713
0.395,1.34677277049369
0.4,1.36909083913074
0.405,1.39109181775563
0.41,1.41275609895136
0.415,1.43406423586905
0.42,1.4549969594108
0.425,1.47553519532259
0.43,1.49566008119753
0.435,1.51535298338921
0.44,1.53459551383536
0.445,1.55336954679163
0.45,1.57165723547566
0.455,1.58944102862129
0.46,1.60670368694303
0.465,1.62342829951071
0.47,1.63959830003439
0.475,1.65519748305939
0.48,1.67021002007164
0.485,1.68462047551313
0.49,1.69841382270769
0.495,1.71157545969687
0.5,1.72409122498608
0.505,1.73594741320097
0.51,1.74713079065395
0.515,1.75762861082098
0.52,1.76742862972856
0.525,1.77651912125089
0.53,1.78488889231728
0.535,1.79252729802979
0.54,1.79942425669102
0.545,1.80557026474215
0.55,1.81095641161117
0.555,1.81557439447137
0.56,1.81941653290997
0.565,1.822475783507
0.57,1.8247457543244
0.575,1.8262207193053
0.58,1.82689563258352
0.585,1.82676614270332
0.59,1.82582860674928
0.595,1.82408010438647
0.6,1.8215184518108
0.605,1.81814221560955
0.61,1.81395072653215
0.615,1.8089440931712
0.62,1.80312321555359
0.625,1.79648979864196
0.63,1.78904636574625
0.635,1.78079627184561
0.64,1.77174371682033
0.645,1.76189375859417
0.65,1.75125232618676
0.655,1.73982623267628
0.66,1.72762318807233
0.665,1.71465181209902
0.67,1.70092164688827
0.675,1.6864431695833
0.68,1.67122780485236
0.685,1.65528793731265
0.69,1.63863692386445
0.695,1.6212891059355
0.7,1.60325982163551
0.705,1.58456541782097
0.71,1.5652232620701
0.715,1.54525175456806
0.72,1.52467033990234
0.725,1.50349951876838
0.73,1.48176085958538
0.735,1.45947701002234
0.74,1.43667170843429
0.745,1.41336979520878
0.75,1.38959722402248
0.755,1.3653810730081
0.76,1.34074955583149
0.765,1.31573203267889
0.77,1.29035902115444
0.775,1.26466220708794
0.78,1.23867445525274
0.785,1.21242981999387
0.79,1.18596355576641
0.795,1.15931212758406
0.8,1.13251322137787
0.805,1.10560575426523
0.81,1.07862988472909
0.815,1.05162702270733
0.82,1.02463983959237
0.825,0.997712278141028
0.83,0.970889562294493
0.835,0.944218206908618
0.84,0.917746027394346
0.845,0.891522149268386
0.85,0.865597017614079
0.855,0.840022406452487
0.86,0.814851428023687
0.865,0.790138541978275
0.87,0.765939564479083
0.875,0.742311677213105
0.88,0.719313436313637
0.885,0.697004781192619
0.89,0.675447043283199
0.895,0.654702954692498
0.9,0.634836656764588
0.905,0.615913708553685
0.91,0.598001095207549
0.915,0.581167236261093
0.92,0.565481993840201
0.925,0.551016680775769
0.93,0.537844068627937
0.935,0.52603839562055
0.94,0.515675374485815
0.945,0.506832200219179
0.95,0.499587557744411
0.955,0.494021629488899
0.96,0.490216102869152
0.965,0.48825417768652
0.97,0.488220573433117
0.975,0.490201536507961
0.98,0.494284847343318
0.985,0.500559827441263
0.99,0.509117346320448
0.995,0.520049828373078
1,0.533451259632105
