"p","mean_prior"
0,0.133458969267974
0.005,0.148520986379351
0.01,0.163497371044511
0.015,0.178391352312622
0.02,0.193206071379215
0.025,0.207944581586183
0.03,0.222609848421783
0.035,0.237204749520635
0.04,0.251732074663723
0.045,0.266194525778395
0.05,0.28059471693836
0.055,0.294935174363693
0.06,0.309218336420829
0.065,0.323446553622571
0.07,0.337622088628081
0.075,0.351747116242886
0.08,0.365823723418878
0.085,0.379853909254309
0.09,0.393839584993797
0.095,0.407782574028323
0.1,0.421684611895229
0.105,0.435547346278224
0.11,0.449372337007377
0.115,0.463161056059123
0.12,0.476914887556258
0.125,0.490635127767943
0.13,0.504322985109702
0.135,0.517979580143422
0.14,0.531605945577354
0.145,0.545203026266111
0.15,0.55877167921067
0.155,0.572312673558372
0.16,0.585826690602922
0.165,0.599314323784385
0.17,0.612776078689193
0.175,0.626212373050139
0.18,0.639623536746381
0.185,0.65300981180344
0.19,0.666371352393198
0.195,0.679708224833904
0.2,0.693020407590167
0.205,0.706307791272963
0.21,0.719570178639627
0.215,0.732807284593861
0.22,0.746018736185729
0.225,0.759204072611657
0.23,0.772362745214437
0.235,0.785494117483222
0.24,0.79859746505353
0.245,0.811671975707242
0.25,0.8247167493726
0.255,0.837730798124213
0.26,0.850713046183052
0.265,0.863662329916449
0.27,0.876577397838103
0.275,0.889456910608074
0.28,0.902299441032786
0.285,0.915103474065026
0.29,0.927867406803946
0.295,0.940589548495059
0.3,0.953268120530243
0.305,0.965901256447738
0.31,0.978487001932148
0.315,0.991023314814441
0.32,1.00350806507195
0.325,1.01593903482836
0.33,1.02831391835374
0.335,1.0406303220645
0.34,1.05288576452344
0.345,1.06507767643969
0.35,1.07720340066877
0.355,1.08926019221255
0.36,1.10124521821926
0.365,1.11315555798352
0.37,1.12498820294629
0.375,1.13674005669488
0.38,1.148407934963
0.385,1.1599885656307
0.39,1.17147858872439
0.395,1.18287455641685
0.4,1.19417293302723
0.405,1.20537009502104
0.41,1.21646233101015
0.415,1.22744584175278
0.42,1.23831674015355
0.425,1.24907105126341
0.43,1.25970471227968
0.435,1.27021357254605
0.44,1.28059339355257
0.445,1.29083984893566
0.45,1.3009485244781
0.455,1.31091491810902
0.46,1.32073443990393
0.465,1.3304024120847
0.47,1.33991406901955
0.475,1.34926455722309
0.48,1.35844893535626
0.485,1.3674621742264
0.49,1.37629915678718
0.495,1.38495467813865
0.5,1.39342344552723
0.505,1.40170007834568
0.51,1.40977910813315
0.515,1.41765497857513
0.52,1.4253220455035
0.525,1.43277457689647
0.53,1.44000675287865
0.535,1.44701266572097
0.54,1.45378631984077
0.545,1.46032163180172
0.55,1.46661243031386
0.555,1.47265245623361
0.56,1.47843536256373
0.565,1.48395471445337
0.57,1.48920398919801
0.575,1.49417657623952
0.58,1.49886577716612
0.585,1.5032648057124
0.59,1.50736678775931
0.595,1.51116476133417
0.6,1.51465167661065
0.605,1.51782039590879
0.61,1.52066369369501
0.615,1.52317425658206
0.62,1.52534468332908
0.625,1.52716748484156
0.63,1.52863508417136
0.635,1.5297398165167
0.64,1.53047392922216
0.645,1.5308295817787
0.65,1.53079884582363
0.655,1.53037370514061
0.66,1.52954605565969
0.665,1.52830770545726
0.67,1.5266503747561
0.675,1.52456569592533
0.68,1.52204521348044
0.685,1.51908038408329
0.69,1.51566257654208
0.695,1.51178307181142
0.7,1.50743306299223
0.705,1.50260365533183
0.71,1.49728586622389
0.715,1.49147062520844
0.72,1.48514877397188
0.725,1.47831106634697
0.73,1.47094816831284
0.735,1.46305065799497
0.74,1.45460902566522
0.745,1.4456136737418
0.75,1.43605491678929
0.755,1.42592298151863
0.76,1.41520800678712
0.765,1.40390004359843
0.77,1.3919890551026
0.775,1.37946491659601
0.78,1.36631741552143
0.785,1.35253625146797
0.79,1.33811103617113
0.795,1.32303129351275
0.8,1.30728645952103
0.805,1.29086588237057
0.81,1.27375882238228
0.815,1.25595445202348
0.82,1.23744185590783
0.825,1.21821003079536
0.83,1.19824788559246
0.835,1.17754424135188
0.84,1.15608783127274
0.845,1.13386730070052
0.85,1.11087120712708
0.855,1.0870880201906
0.86,1.06250612167568
0.865,1.03711380551323
0.87,1.01089927778057
0.875,0.983850656701347
0.88,0.95595597264559
0.885,0.927203168129688
0.89,0.89758009781639
0.895,0.867074528514813
0.9,0.835674139180434
0.905,0.803366520915094
0.91,0.770139176967
0.915,0.735979522730717
0.92,0.700874885747179
0.925,0.66481250570368
0.93,0.627779534433877
0.935,0.589763035917793
0.94,0.550749986281813
0.945,0.510727273798684
0.95,0.469681698887518
0.955,0.427599974113789
0.96,0.384468724189338
0.965,0.340274485972363
0.97,0.29500370846743
0.975,0.248642752825467
0.98,0.201177892343767
0.985,0.152595312465984
0.99,0.102881110782135
0.995,0.0520212970286036
1,1.793088133441e-06
