"npar","K","test_logLik","test_MAE","test_MSE","train_ll","AIC","BIC","Model","label"
5,NA,-575.228823994083,0.166771725688296,0.0414404561183078,-1275.13232177001,2560.26464354002,2581.44649149104,"Logistic","MathExam14W"
6,NA,-516.403290066796,0.166863098158934,0.0415616153181614,-1173.31336578417,2358.62673156834,2384.04494910956,"BetaBinomial_reg","MathExam14W"
17,6,-508.020870561242,0.162837174308371,0.0393008800376108,-1152.87774957685,2339.7554991537,2411.77378218716,"BernBino_BIC","MathExam14W"
21,8,-509.331999254549,0.164000912518162,0.040020336184469,-1150.88643791027,2343.77287582054,2432.73663721481,"BernBino_CV","MathExam14W"
4,NA,-1477.87671729245,0.195104221727336,0.0557538948853794,-3319.31947204404,6646.63894408808,6665.20889129355,"Logistic","PISA2000Read"
5,NA,-1004.02136131317,0.195143491950854,0.055763293444742,-2308.5672581856,4627.1345163712,4650.34695037804,"BetaBinomial_reg","PISA2000Read"
12,4,-996.413556953475,0.188632599163591,0.0531838486534495,-2267.31680570724,4558.63361141448,4614.34345303089,"BernBino_BIC","PISA2000Read"
14,5,-999.084402619728,0.187851426571352,0.0529879529969648,-2261.84753300827,4551.69506601654,4616.68988123568,"BernBino_CV","PISA2000Read"
7,NA,-1257.44147343619,0.055765382400375,0.00493188311410709,-2882.37676252659,5778.75352505318,5813.44934315524,"Logistic","CTB"
8,NA,-1255.66556026421,0.0557652167389834,0.00493178654934691,-2881.3918583849,5778.78371676981,5818.43608031502,"BetaBinomial_reg","CTB"
27,10,-1439.3728407356,0.0608862433862434,0.00574711829176115,-3349.17773906574,6752.35547813148,6886.18220509657,"BernBino_BIC","CTB"
27,10,-1439.3728407356,0.0608862433862434,0.00574711829176115,-3349.17773906574,6752.35547813148,6886.18220509657,"BernBino_CV","CTB"
