"K","ll","AIC","BIC"
1,-136.733065021072,277.466130042143,281.587016063236
2,-130.884064043462,267.768128086925,273.949457118564
3,-126.869469669675,261.73893933935,269.980711381536
4,-124.592484920822,259.184969841645,269.487184894377
5,-123.507429890175,259.014859780349,271.377517843628
6,-123.140436232228,260.280872464456,274.703973538281
7,-122.937800563375,261.875601126751,278.359145211122
8,-122.797119685979,263.594239371958,282.138226466876
9,-122.728668071702,265.457336143403,286.061766248867
10,-122.669519714982,267.339039429964,290.003912545975
11,-122.612109702122,269.224219404245,293.949535530802
12,-122.549942073642,271.099884147284,297.885643284387
13,-122.481036946187,272.962073892374,301.808276040024
14,-122.418526332357,274.837052664714,305.74369782291
15,-122.366811747935,276.73362349587,309.700711664612
