"scenario","n","prior","parameter","bias","mse","coverage","width","ess","rhat"
"S1",200,"P1","lambda0",0.0059291302665559,0.00992558510062806,0.954,0.276795330739505,1684.50764772699,1.0037717644506
"S1",200,"P1","lambda1",-0.0135765857347505,0.0279020108971166,0.959,0.465164176764102,1172.2048464721,1.00529954312787
"S1",200,"P1","lambda2",0.00764745546819456,0.0108371928674387,0.955,0.289461021298903,1737.61486623953,1.00361988803353
"S1",200,"P2","lambda0",-0.00140948258276669,0.00839201392983082,0.958,0.260684155056606,2088.96294051725,1.00297178410139
"S1",200,"P2","lambda1",0.00503669306473259,0.0228704383168914,0.957,0.427609200045192,1430.78769162098,1.0043273581044
"S1",200,"P2","lambda2",-0.0036272104819659,0.00942063191386423,0.953,0.271239841602648,2172.33233569191,1.00298488894978
"S1",200,"P3","lambda0",0.0944593767325149,0.0166146957356388,0.739,0.258159684798202,1886.99580253909,1.00339196521848
"S1",200,"P3","lambda1",-0.189022195282829,0.0537951644805404,0.589,0.404340694648661,1143.67888194706,1.00552682875419
"S1",200,"P3","lambda2",0.0945628185503144,0.0174093656039094,0.761,0.268743031520812,1843.17358388909,1.0034111858483
"S1",500,"P1","lambda0",0.00338372298614935,0.00424532193790563,0.958,0.180539364823165,1733.28840965495,1.00354299269535
"S1",500,"P1","lambda1",-0.00632296303006922,0.0123528005638962,0.954,0.304981515413043,1208.15235665757,1.00497999658489
"S1",500,"P1","lambda2",0.00293924004391987,0.00475935994537788,0.95,0.187901483970759,1782.60498271718,1.0035090604345
"S1",500,"P2","lambda0",-0.0010159927283583,0.0037687350733719,0.964,0.17594910922158,1885.37699687331,1.00323297701429
"S1",500,"P2","lambda1",0.00246751996120301,0.0105250820047862,0.967,0.294644752901685,1306.4097049409,1.0045473070115
"S1",500,"P2","lambda2",-0.0014515272328447,0.00429138281695792,0.956,0.182964964791089,1946.23839868018,1.00313961068007
"S1",500,"P3","lambda0",0.0423197022641609,0.00565296398871338,0.865,0.177231246705783,1787.77603601111,1.00366812809859
"S1",500,"P3","lambda1",-0.0850600235093122,0.017652514567578,0.812,0.295278194003599,1199.76636228593,1.00534258288258
"S1",500,"P3","lambda2",0.0427403212451513,0.00609143184132262,0.867,0.184773285480745,1796.28003812713,1.00354988611225
"S1",800,"P1","lambda0",0.00169589313445404,0.00271876296690007,0.944,0.143196196825045,1767.08344256697,1.00354356518691
"S1",800,"P1","lambda1",-0.00275225038423012,0.00769181055928277,0.947,0.241995149002587,1229.40158478747,1.00494285432382
"S1",800,"P1","lambda2",0.00105635724977608,0.00289023993150797,0.946,0.149075685531177,1813.27870663193,1.00347517374662
"S1",800,"P2","lambda0",-0.00160956659713147,0.00258867949112484,0.952,0.140795064956429,1856.00070782451,1.00335351474513
"S1",800,"P2","lambda1",0.00248341171340771,0.00732765617822049,0.939,0.236820665470892,1286.81048999838,1.00467577603184
"S1",800,"P2","lambda2",-0.000873845116276241,0.00282886190816686,0.941,0.146731724499481,1912.49870272245,1.0032780539587
"S1",800,"P3","lambda0",0.030306942123791,0.00341055548688136,0.872,0.141878525214539,1806.91698227525,1.00347188150412
"S1",800,"P3","lambda1",-0.0586092628253195,0.0102808809770652,0.857,0.237218978836051,1223.42635851466,1.00502733891486
"S1",800,"P3","lambda2",0.0283023207015285,0.00350541803962293,0.9,0.147446137901333,1827.14267542369,1.00348768057145
