"scenario","n","prior","parameter","bias","mse","coverage","width","ess","rhat"
"S1",200,"P1","lambda0",0.00474508407162641,0.00671868847719231,0.975,0.239008258592805,1169.86664566823,1.00717870458713
"S1",200,"P1","lambda1",-0.00186291773482341,0.0288287145679861,0.992,0.516583781471291,518.394587877568,1.01372279709897
"S1",200,"P1","lambda2",-0.00890418993684606,0.0337859845585636,0.994,0.547566595664525,530.454096429425,1.01353110067322
"S1",200,"P1","lambda3",0.00602202360004309,0.00900916532557521,0.969,0.272783728035089,1125.42693722334,1.00721866192687
"S1",200,"P2","lambda0",-0.00833743824141091,0.00652992755977978,0.971,0.231679445395694,1291.75658746433,1.006031547322
"S1",200,"P2","lambda1",0.0158285030682781,0.0242550440857754,0.997,0.487986678174951,659.902046537174,1.01030891156464
"S1",200,"P2","lambda2",-0.00250080808634524,0.0259073492926547,0.997,0.505622336641706,700.456161245465,1.00987381690231
"S1",200,"P2","lambda3",-0.00499025674052189,0.00797356747002499,0.971,0.257494700402185,1439.4491575065,1.00523304864569
"S1",200,"P3","lambda0",0.0865658116710423,0.0124054305681405,0.734,0.218972688068472,2172.99616486903,1.00339312186825
"S1",200,"P3","lambda1",-0.123324108433059,0.0296558722305049,0.931,0.385520979419979,745.864093928256,1.00875081267669
"S1",200,"P3","lambda2",0.00130521919851008,0.0182042157836695,0.997,0.437291158620123,918.258616737664,1.00750101409557
"S1",200,"P3","lambda3",0.0354530775635067,0.0072156023066471,0.965,0.239261737023482,2192.90412792939,1.00326667810831
"S1",500,"P1","lambda0",-0.000173911408234995,0.00394239120119995,0.962,0.179135205506256,681.004324827547,1.01301194390183
"S1",500,"P1","lambda1",0.00178837215735248,0.0221636190186098,0.973,0.431572126715808,330.054903318117,1.02207528883208
"S1",500,"P1","lambda2",-0.00198621776323908,0.0240415367662051,0.977,0.449783714777184,348.624279013011,1.0215702234688
"S1",500,"P1","lambda3",0.000371757014121624,0.00494838749158455,0.963,0.199226410786072,708.292452686072,1.01246696582521
"S1",500,"P2","lambda0",-0.00315947345702928,0.003738083120924,0.97,0.174259118044702,801.876273976913,1.01024047982231
"S1",500,"P2","lambda1",0.00535388429551209,0.0189491618101527,0.98,0.40312440003592,400.717042931738,1.01712372842601
"S1",500,"P2","lambda2",-4.9318803404248e-05,0.0196038025051323,0.976,0.415380834718163,431.567061009256,1.01657874217843
"S1",500,"P2","lambda3",-0.00214509203507853,0.00427530365792171,0.979,0.190066618596928,891.8660722756,1.0093066214173
"S1",500,"P3","lambda0",0.0473626285175295,0.00515274503124793,0.858,0.163641340433123,957.714855508304,1.00858893955115
"S1",500,"P3","lambda1",-0.0836927506936252,0.0212442036711344,0.924,0.362452206226483,416.099386753008,1.01704376556307
"S1",500,"P3","lambda2",0.0282847311130456,0.0161927433159275,0.983,0.382523112913908,489.525348496004,1.0154567739732
"S1",500,"P3","lambda3",0.00804539106305023,0.00339509826947512,0.99,0.177410378098132,1165.30367036015,1.00735529337304
"S1",800,"P1","lambda0",0.000705403526988608,0.00288990880027675,0.949,0.14914743386342,600.788633770812,1.01444803470873
"S1",800,"P1","lambda1",0.000330156209866494,0.0174700983957485,0.946,0.368355041542016,300.801556347248,1.02373397062642
"S1",800,"P1","lambda2",-0.00551316671346224,0.0187257131475525,0.947,0.381129934726588,317.755536187838,1.02322135923739
"S1",800,"P1","lambda3",0.00447760697660716,0.00344135687710629,0.952,0.164275113805733,641.501195525671,1.01367221228213
"S1",800,"P2","lambda0",-0.00229198052716064,0.00260892059602898,0.967,0.145681288303541,681.667410945569,1.01223955531777
"S1",800,"P2","lambda1",0.00185260698682046,0.0144733568776644,0.975,0.350355036519678,349.003303521039,1.0201119682817
"S1",800,"P2","lambda2",0.00147982705378424,0.015576892306457,0.963,0.359382577654238,372.716685199841,1.01942440066303
"S1",800,"P2","lambda3",-0.00104045351344403,0.00316989319666961,0.951,0.157899828982381,756.941352314907,1.01103153359257
"S1",800,"P3","lambda0",0.0357986698179269,0.00353541896365562,0.856,0.1391794546204,741.490196775017,1.01093896171303
"S1",800,"P3","lambda1",-0.0667519168985274,0.0169005088367576,0.914,0.327460998629217,354.334487826899,1.01963237862924
"S1",800,"P3","lambda2",0.0267650336250043,0.0138129501767651,0.974,0.338569444506323,402.31431847873,1.01819579115395
"S1",800,"P3","lambda3",0.00418821345559631,0.00261973829484966,0.97,0.149737242589723,910.472326855377,1.00944914519828
