"","x"
"1",3
"2",11
"3",9
"4",5
"5",7
"6",7
"7",13
"8",7
"9",1
"10",5
"11",3
"12",8
"13",5
"14",2
"15",9
"16",7
"17",4
"18",12
"19",3
"20",12
"21",7
"22",5
"23",6
"24",6
"25",2
"26",10
"27",9
"28",5
"29",6
"30",7
"31",3
"32",4
"33",3
"34",7
"35",8
"36",8
"37",12
"38",10
"39",3
"40",10
"41",2
"42",9
"43",3
"44",6
"45",4
"46",8
"47",6
"48",2
"49",14
"50",8
"51",10
"52",4
"53",11
"54",2
"55",5
"56",10
"57",11
"58",5
"59",1
"60",6
"61",3
"62",14
"63",9
"64",6
"65",9
"66",12
"67",8
"68",6
"69",9
"70",8
"71",8
"72",9
"73",12
"74",7
"75",3
"76",4
"77",9
"78",1
"79",6
"80",9
"81",12
"82",9
"83",6
"84",11
"85",9
"86",6
"87",2
"88",5
"89",7
"90",7
"91",8
"92",1
"93",9
"94",8
"95",9
"96",1
"97",3
"98",5
"99",9
"100",2
"101",6
"102",0
"103",8
"104",5
"105",7
"106",3
"107",5
"108",8
"109",3
"110",11
"111",0
"112",6
"113",7
"114",5
"115",10
"116",5
"117",15
"118",7
"119",11
"120",10
"121",4
"122",4
"123",11
"124",9
"125",8
"126",5
"127",7
"128",14
"129",5
"130",13
"131",4
"132",13
"133",2
"134",8
"135",5
"136",9
"137",9
"138",4
"139",9
"140",8
"141",3
"142",6
"143",6
"144",1
"145",3
"146",14
"147",7
"148",7
"149",11
"150",7
"151",7
"152",10
"153",6
"154",11
"155",7
"156",3
"157",8
"158",3
"159",3
"160",4
"161",10
"162",3
"163",8
"164",2
"165",5
"166",6
"167",2
"168",6
"169",5
"170",2
"171",7
"172",9
"173",9
"174",2
"175",5
"176",3
"177",5
"178",1
"179",0
"180",2
"181",10
"182",6
"183",10
"184",6
"185",2
"186",9
"187",2
"188",0
"189",4
"190",1
"191",10
"192",12
"193",9
"194",7
"195",10
"196",1
"197",9
"198",9
"199",8
"200",4
"201",0
"202",6
"203",2
"204",4
"205",6
"206",4
"207",2
"208",10
"209",9
"210",8
"211",2
"212",5
"213",4
"214",12
"215",10
"216",1
"217",6
"218",5
"219",13
"220",4
"221",5
"222",8
"223",1
"224",5
"225",7
"226",8
"227",8
"228",1
"229",1
"230",7
"231",2
"232",11
"233",7
"234",5
"235",2
"236",1
"237",2
"238",11
"239",12
"240",6
"241",10
"242",3
"243",1
"244",13
"245",7
"246",6
"247",9
"248",5
"249",2
"250",11
"251",6
"252",4
"253",6
"254",10
"255",11
"256",4
"257",2
"258",9
"259",6
"260",11
"261",12
"262",2
"263",6
"264",2
"265",11
"266",9
"267",10
"268",1
"269",5
"270",7
"271",4
"272",12
"273",6
"274",2
"275",4
"276",1
"277",9
"278",9
"279",3
"280",10
"281",5
"282",3
"283",7
"284",12
"285",12
"286",7
"287",9
"288",9
"289",5
"290",8
"291",9
"292",5
"293",6
"294",10
"295",13
"296",9
"297",9
"298",3
"299",12
"300",3
"301",2
"302",7
"303",3
"304",8
"305",8
"306",3
"307",7
"308",1
"309",7
"310",8
"311",11
"312",3
"313",4
"314",2
"315",9
"316",5
"317",5
"318",4
"319",12
"320",9
"321",0
"322",6
"323",3
"324",8
"325",7
"326",2
"327",9
"328",2
"329",4
"330",5
"331",11
"332",14
"333",1
"334",13
"335",4
"336",2
"337",2
"338",11
"339",1
"340",11
"341",8
"342",4
"343",1
"344",11
"345",13
"346",3
"347",1
"348",11
"349",10
"350",4
"351",7
"352",2
"353",5
"354",9
"355",4
"356",1
"357",6
"358",1
"359",9
"360",10
"361",3
"362",4
"363",6
"364",7
"365",3
"366",15
"367",12
"368",5
"369",3
"370",11
"371",5
"372",7
"373",7
"374",13
"375",3
"376",5
"377",2
"378",5
"379",11
"380",4
"381",6
"382",6
"383",10
"384",5
"385",5
"386",6
"387",3
"388",7
"389",10
"390",3
"391",12
"392",2
"393",6
"394",2
"395",1
"396",12
"397",6
"398",4
"399",1
"400",5
"401",11
"402",3
"403",6
"404",3
"405",12
"406",5
"407",14
"408",8
"409",7
"410",6
"411",10
"412",3
"413",7
"414",11
"415",3
"416",10
"417",5
"418",4
"419",6
"420",12
"421",3
"422",8
"423",2
"424",4
"425",5
"426",9
"427",7
"428",7
"429",13
"430",2
"431",6
"432",0
"433",3
"434",12
"435",13
"436",6
"437",4
"438",10
"439",5
"440",2
"441",2
"442",4
"443",4
"444",8
"445",3
"446",8
"447",6
"448",4
"449",4
"450",4
"451",2
"452",7
"453",4
"454",10
"455",4
"456",9
"457",6
"458",6
"459",3
"460",7
"461",13
"462",3
"463",9
"464",12
"465",6
"466",0
"467",5
"468",11
"469",5
"470",4
"471",4
"472",10
"473",5
"474",5
"475",6
"476",7
"477",4
"478",3
"479",12
"480",6
"481",2
"482",2
"483",5
"484",2
"485",8
"486",1
"487",8
"488",4
"489",7
"490",8
"491",10
"492",5
"493",9
"494",13
"495",7
"496",7
"497",12
"498",4
"499",4
"500",7
