"","x"
"1",7
"2",5
"3",19
"4",1
"5",13
"6",7
"7",9
"8",7
"9",4
"10",0
"11",8
"12",10
"13",9
"14",0
"15",13
"16",4
"17",21
"18",27
"19",12
"20",9
"21",12
"22",6
"23",15
"24",4
"25",8
"26",16
"27",16
"28",7
"29",11
"30",2
"31",15
"32",0
"33",0
"34",3
"35",0
"36",0
"37",11
"38",8
"39",5
"40",9
"41",7
"42",8
"43",2
"44",18
"45",0
"46",4
"47",11
"48",5
"49",3
"50",0
"51",7
"52",11
"53",0
"54",27
"55",5
"56",12
"57",6
"58",5
"59",22
"60",5
"61",2
"62",0
"63",3
"64",19
"65",11
"66",9
"67",0
"68",2
"69",19
"70",12
"71",3
"72",10
"73",1
"74",2
"75",2
"76",3
"77",0
"78",5
"79",11
"80",16
"81",21
"82",14
"83",2
"84",6
"85",9
"86",8
"87",13
"88",7
"89",24
"90",1
"91",2
"92",9
"93",6
"94",22
"95",8
"96",7
"97",4
"98",14
"99",9
"100",25
"101",10
"102",5
"103",0
"104",6
"105",9
"106",4
"107",5
"108",11
"109",3
"110",8
"111",0
"112",23
"113",0
"114",10
"115",11
"116",7
"117",9
"118",2
"119",16
"120",19
"121",6
"122",4
"123",9
"124",2
"125",4
"126",10
"127",8
"128",0
"129",9
"130",16
"131",11
"132",6
"133",6
"134",7
"135",0
"136",8
"137",2
"138",22
"139",23
"140",1
"141",9
"142",9
"143",8
"144",8
"145",12
"146",0
"147",0
"148",7
"149",0
"150",1
"151",9
"152",10
"153",2
"154",12
"155",1
"156",1
"157",2
"158",11
"159",4
"160",1
"161",2
"162",0
"163",5
"164",0
"165",22
"166",3
"167",27
"168",1
"169",14
"170",2
"171",13
"172",2
"173",12
"174",12
"175",4
"176",3
"177",10
"178",9
"179",16
"180",11
"181",9
"182",13
"183",3
"184",11
"185",6
"186",14
"187",8
"188",2
"189",2
"190",19
"191",0
"192",10
"193",11
"194",19
"195",6
"196",20
"197",26
"198",10
"199",1
"200",13
"201",1
"202",9
"203",6
"204",9
"205",6
"206",6
"207",12
"208",3
"209",0
"210",0
"211",9
"212",9
"213",2
"214",6
"215",8
"216",10
"217",0
"218",0
"219",4
"220",1
"221",3
"222",3
"223",5
"224",1
"225",13
"226",1
"227",6
"228",12
"229",3
"230",0
"231",12
"232",13
"233",8
"234",9
"235",9
"236",18
"237",16
"238",9
"239",14
"240",13
"241",4
"242",2
"243",6
"244",4
"245",2
"246",2
"247",11
"248",13
"249",3
"250",5
"251",1
"252",1
"253",4
"254",6
"255",3
"256",9
"257",10
"258",19
"259",2
"260",2
"261",2
"262",1
"263",8
"264",7
"265",0
"266",2
"267",0
"268",3
"269",7
"270",5
"271",0
"272",3
"273",8
"274",11
"275",0
"276",1
"277",0
"278",3
"279",15
"280",2
"281",5
"282",1
"283",14
"284",23
"285",20
"286",1
"287",21
"288",8
"289",5
"290",0
"291",19
"292",0
"293",11
"294",2
"295",1
"296",7
"297",5
"298",11
"299",6
"300",0
"301",10
"302",12
"303",23
"304",7
"305",0
"306",18
"307",14
"308",14
"309",0
"310",7
"311",22
"312",19
"313",0
"314",3
"315",0
"316",11
"317",14
"318",5
"319",0
"320",3
"321",22
"322",11
"323",20
"324",0
"325",4
"326",14
"327",7
"328",11
"329",7
"330",11
"331",14
"332",23
"333",6
"334",8
"335",11
"336",8
"337",7
"338",8
"339",7
"340",8
"341",2
"342",10
"343",0
"344",3
"345",3
"346",13
"347",15
"348",0
"349",9
"350",15
"351",13
"352",3
"353",3
"354",2
"355",9
"356",14
"357",12
"358",3
"359",3
"360",5
"361",6
"362",7
"363",10
"364",0
"365",0
"366",1
"367",8
"368",16
"369",2
"370",5
"371",6
"372",17
"373",13
"374",8
"375",0
"376",15
"377",1
"378",8
"379",0
"380",5
"381",8
"382",16
"383",4
"384",1
"385",0
"386",4
"387",2
"388",4
"389",8
"390",17
"391",7
"392",0
"393",6
"394",5
"395",18
"396",10
"397",12
"398",7
"399",1
"400",2
"401",8
"402",14
"403",8
"404",9
"405",19
"406",0
"407",4
"408",12
"409",9
"410",3
"411",1
"412",0
"413",0
"414",17
"415",2
"416",29
"417",5
"418",7
"419",10
"420",4
"421",2
"422",7
"423",10
"424",8
"425",15
"426",8
"427",2
"428",3
"429",1
"430",3
"431",16
"432",3
"433",24
"434",6
"435",9
"436",8
"437",19
"438",6
"439",11
"440",8
"441",10
"442",6
"443",10
"444",21
"445",6
"446",2
"447",15
"448",9
"449",0
"450",13
"451",1
"452",11
"453",27
"454",6
"455",3
"456",4
"457",6
"458",0
"459",4
"460",1
"461",8
"462",2
"463",4
"464",4
"465",14
"466",13
"467",4
"468",0
"469",13
"470",15
"471",7
"472",5
"473",0
"474",23
"475",4
"476",16
"477",20
"478",0
"479",9
"480",1
"481",7
"482",14
"483",3
"484",2
"485",1
"486",1
"487",10
"488",6
"489",22
"490",1
"491",13
"492",0
"493",5
"494",1
"495",0
"496",15
"497",2
"498",14
"499",7
"500",8
"501",6
"502",9
"503",6
"504",7
"505",3
"506",0
"507",0
"508",3
"509",9
"510",1
"511",16
"512",10
