"","x"
"1",7
"2",7
"3",9
"4",17
"5",2
"6",13
"7",28
"8",2
"9",3
"10",19
"11",5
"12",19
"13",29
"14",17
"15",5
"16",20
"17",13
"18",9
"19",3
"20",2
"21",0
"22",12
"23",13
"24",17
"25",7
"26",13
"27",29
"28",12
"29",15
"30",15
"31",5
"32",20
"33",13
"34",13
"35",19
"36",20
"37",14
"38",16
"39",9
"40",19
"41",30
"42",0
"43",1
"44",26
"45",18
"46",18
"47",10
"48",30
"49",24
"50",17
"51",27
"52",25
"53",7
"54",14
"55",7
"56",13
"57",12
"58",16
"59",26
"60",6
"61",20
"62",16
"63",3
"64",13
"65",4
"66",11
"67",4
"68",28
"69",19
"70",0
"71",9
"72",29
"73",2
"74",23
"75",11
"76",6
"77",12
"78",12
"79",16
"80",6
"81",13
"82",16
"83",0
"84",9
"85",28
"86",3
"87",29
"88",16
"89",0
"90",0
"91",11
"92",21
"93",13
"94",0
"95",15
"96",18
"97",5
"98",16
"99",13
"100",13
"101",21
"102",9
"103",10
"104",6
"105",3
"106",13
"107",19
"108",1
"109",1
"110",16
"111",4
"112",21
"113",9
"114",6
"115",1
"116",12
"117",15
"118",16
"119",6
"120",17
"121",12
"122",20
"123",22
"124",24
"125",9
"126",30
"127",28
"128",14
"129",30
"130",14
"131",16
"132",11
"133",14
"134",1
"135",15
"136",16
"137",15
"138",10
"139",5
"140",16
"141",9
"142",8
"143",27
"144",3
"145",10
"146",17
"147",16
"148",14
"149",7
"150",4
"151",4
"152",1
"153",14
"154",1
"155",30
"156",13
"157",0
"158",1
"159",4
"160",17
"161",30
"162",4
"163",0
"164",12
"165",15
"166",29
"167",3
"168",6
"169",5
"170",13
"171",5
"172",11
"173",19
"174",15
"175",2
"176",0
"177",6
"178",10
"179",30
"180",9
"181",15
"182",9
"183",10
"184",18
"185",19
"186",15
"187",30
"188",18
"189",2
"190",2
"191",30
"192",12
"193",16
"194",22
"195",2
"196",28
"197",15
"198",10
"199",18
"200",13
"201",19
"202",2
"203",20
"204",16
"205",24
"206",2
"207",1
"208",8
"209",0
"210",0
"211",25
"212",16
"213",6
"214",6
"215",6
"216",4
"217",2
"218",14
"219",17
"220",4
"221",15
"222",10
"223",28
"224",29
"225",19
"226",10
"227",2
"228",14
"229",10
"230",9
"231",14
"232",9
"233",12
"234",0
"235",20
"236",15
"237",11
"238",16
"239",2
"240",3
"241",14
"242",16
"243",7
"244",0
"245",14
"246",28
"247",15
"248",18
"249",10
"250",22
"251",5
"252",15
"253",15
"254",7
"255",9
"256",4
"257",21
"258",13
"259",9
"260",6
"261",17
"262",2
"263",7
"264",18
"265",17
"266",6
"267",13
